Activity Sol,Location,Feature,Target Name,Target Type,Site,Drive,x,y,z,u,v,w,Image ID,i,j,Target Notes
27,Eagle Crater,Stone_Tablet,Shalt,Rock,4,48,12.770193,4.085182,-0.707651,-0.12538,0.154461,-0.980757,1F130501351FFL0448P1210L0M1,434,570,
28,Eagle Crater,Guadalupe,Lower,Rock,4,54,13.061,3.999,-0.768,-0.346825,-0.018308,-0.937751,1F130586968FFL0454P1214L0M1,462,611,
28,Eagle Crater,McKittrick,Middle,Rock,4,54,13.482,4.037,-0.963,-0.676049,0.084006,-0.732053,1F130586968FFL0454P1214L0M1,497,447,
28,Eagle Crater,McKittrick,Top,Rock,4,54,13.17,3.98,-0.8,,,,1F130586968FFL0454P1214L0M1,461,561,
28,Eagle Crater,McKittrick,Upper,Rock,4,54,13.128938,3.986932,-0.791834,-0.386308,-0.03259,-0.922432,1F130586968FFL0454P1214L0M1,461,577,
29,Eagle Crater,McKittrick,Jim's_Berry,Rock,4,54,13.442686,3.986364,-0.929988,-0.945503,-0.024172,-0.324713,1F130586968FFL0454P1214L0M1,477,462,
29,Eagle Crater,McKittrick,Base,Rock,4,54,12.980142,4.044834,-0.755368,-0.350942,0.092013,-0.93118,1F130586968FFL0454P1214L0M1,482,655,
29,Eagle Crater,McKittrick,Right,Rock,4,54,13.075245,4.079519,-0.793779,-0.258402,-0.037729,-0.964489,1F130586968FFL0454P1214L0M1,505,598,
34,Eagle Crater,Guadalupe,King2,Rock,5,0,1.156162,-0.154209,-0.091639,-0.696157,0.023423,-0.717506,1F131117877FFL0500P1214L0M1,465,479,
34,Eagle Crater,Guadalupe,King3,Rock,5,0,1.151751,-0.151574,-0.085513,-0.722698,0.02612,-0.690669,1F131117877FFL0500P1214L0M1,466,482,
38,Eagle Crater,Fine_Soil,Pay_Dirt,Soil,5,38,0.738316,3.962475,-0.074932,-0.023014,-0.340301,-0.940471,1F131480091FFL0538P1214L0M1,450,475,
39,Eagle Crater,Last_Chance,Last_Chance_a7,Rock,5,44,1.013266,4.017085,-0.19148,-0.563036,-0.455239,-0.689744,1F131566087FFL0544P1214L0M1,555,506,
39,Eagle Crater,Last_Chance,Last_Chance_b9,Rock,5,44,0.974298,4.043807,-0.152242,-0.711617,-0.473444,-0.519085,1F131566087FFL0544P1214L0M1,574,522,
39,Eagle Crater,Last_Chance,Last_Chance_c3,Rock,5,44,0.975332,3.941207,-0.132432,-0.419635,-0.207479,-0.883021,1F131566087FFL0544P1214L0M1,541,544,
39,Eagle Crater,Last_Chance,Makar,Rock,5,44,1.012487,4.006967,-0.186991,-0.623138,-0.548574,-0.557462,1F131566087FFL0544P1214L0M1,552,509,
40,Eagle Crater,Last_Chance,Last_Chance_a2,Rock,5,44,1.119781,3.946034,-0.206967,-0.2668,-0.604201,-0.751145,1F131566087FFL0544P1214L0M1,504,494,
40,Eagle Crater,Last_Chance,Last_Chance_b2,Rock,5,44,1.10741,3.930201,-0.188119,-0.470486,-0.756802,-0.453752,1F131566087FFL0544P1214L0M1,502,504,
40,Eagle Crater,Last_Chance,Last_Chance_c4,Rock,5,44,0.97,3.92,-0.12,,,,1F131566087FFL0544P1214L0M1,535,553,
41,Eagle Crater,Dells,HiHo,Rock,5,74,0.757456,-1.185422,0.104173,-0.105144,0.044001,-0.993444,1F131742687FFL0574P1214L0M1,506,664,
41,Eagle Crater,Dells,Wind_Ripple,Rock,5,74,1.27542,-1.11632,0.014431,-0.369332,0.037663,-0.929475,1F131742687FFL0574P1214L0M1,680,531,
42,Eagle Crater,Flat_Rock,Mojo2,Rock,5,106,-0.121846,-5.231671,-0.11739,-0.217211,0.130756,-0.967394,1F131838135FFL05A6P1214L0M1,547,558,
46,Eagle Crater,Berry_Bowl,Rubel,Soil,5,122,-0.166786,-6.234924,-0.181043,-0.130012,0.101795,-0.986321,1F132186603FFL05AMP1214L0M1,517,562,
46,Eagle Crater,Berry_Bowl,Bluecrop,Soil,5,122,-0.149246,-6.25669,-0.186499,-0.120883,0.09981,-0.987647,1F132186603FFL05AMP1214L0M1,516,552,
46,Eagle Crater,Berry_Bowl,Rubel2,Soil,5,122,-0.162164,-6.233535,-0.182364,-0.111882,0.111318,-0.987495,1F132186603FFL05AMP1214L0M1,519,561,
47,Eagle Crater,Berry_Bowl,Empty,Soil,5,122,-0.228859,-6.29248,-0.179991,-0.202134,0.053727,-0.977905,1F132186603FFL05AMP1214L0M1,478,561,
48,Eagle Crater,Berry_Bowl,Triple_Berry,Soil,5,122,-0.14,-6.26,-0.19,,,,1F132186603FFL05AMP1214L0M1,518,549,
49,Eagle Crater,Real_Sharks_Tooth,Filling,Rock,6,0,0.39806,-0.748103,0.180649,0.23303,0.382885,-0.893921,1F132452926FFL0600P1214L0M1,613,638,
49,Eagle Crater,Patio_Dirt,Salt,Soil,6,0,0.374097,-0.778893,0.175243,0.001376,0.03755,-0.999114,1F132452926FFL0600P1214L0M1,592,627,
50,Eagle Crater,Real_Sharks_Tooth,Lamination,Rock,6,2,0.689025,-0.98422,0.1541,-0.034432,0.208153,-0.976945,1F132546842FFL0602P1214L0M1,466,508,
50,Eagle Crater,Real_Sharks_Tooth,Enamel,Rock,6,2,0.645253,-0.840082,0.158246,0.011043,0.62073,-0.783946,1F132546842FFL0602P1214L0M1,488,540,
52,Eagle Crater,Goal5,Panaluu,Soil,6,108,-9.239589,8.966382,-0.666891,0.232566,-0.040405,-0.97175,1F132726171FFL06A8P1214L0M1,541,497,
52,Eagle Crater,Goal5,Lanikai,Soil,6,108,-9.154455,9.229049,-0.667067,0.227841,-0.037351,-0.972931,1F132726171FFL06A8P1214L0M1,431,506,
53,Eagle Crater,Goal3,Cookies_'n_Cream,Soil,6,128,-5.931349,11.229076,-0.056279,0.114769,-0.129096,-0.984963,1F132811641FFL06ASP1214L0M1,687,540,
53,Eagle Crater,Goal3,Vanilla2,Soil,6,128,-5.505119,11.741529,-0.051816,0.11447,-0.128082,-0.985133,1F132811641FFL06ASP1214L0M1,435,482,
54,Eagle Crater,Goal4,Chocolate_Chip,Soil,6,152,-2.961969,9.607139,0.423147,0.127789,0.012109,-0.991598,1F132900474FFL06BGP1214L0M1,485,534,
54,Eagle Crater,Goal4,Coconut2,Soil,6,152,-2.625992,9.772223,0.449408,0.028494,-0.066703,-0.997353,1F132900474FFL06BGP1214L0M1,531,720,
55,Eagle Crater,Goal2,Bright_Material,Trench,6,340,0.390273,8.862193,0.472912,-0.120319,-0.092577,-0.987768,1F132989019FFL06GOP1214L0M1,392,510,
55,Eagle Crater,Goal2,Mbone,Trench,6,340,0.672405,8.903937,0.499913,-0.393668,-0.115312,-0.911326,1F132989019FFL06GOP1214L0M1,462,580,
55,Eagle Crater,Goal2,Ripple_Four,Trench,6,340,0.320097,8.920279,0.470797,-0.077117,-0.350039,-0.933555,1F132989019FFL06GOP1214L0M1,356,510,
55,Eagle Crater,Goal2,Ripple_One,Trench,6,340,0.526402,8.76535,0.444959,-0.058997,-0.208308,-0.976535,1F132989019FFL06GOP1214L0M1,454,506,
55,Eagle Crater,Goal2,Wall_One,Trench,6,340,0.645347,8.73122,0.452015,0.398819,0.653894,-0.641885,1F132989019FFL06GOP1214L0M1,498,520,
55,Eagle Crater,Goal2,Wall_Two,Trench,6,340,0.655247,8.74325,0.47629,0.36933,0.561341,-0.740602,1F132989019FFL06GOP1214L0M1,498,530,
56,Eagle Crater,Goal1,Brian's_Choice,Trench,6,366,-0.196,20.343,-1.601,-0.107,-0.453,-0.885,1F133082399FFL06HEP1214L0M1,538,562,
59,Eagle Crater,Mont_Blanc,Dendrites,Soil,8,30,8.796623,-3.667424,-0.262551,-0.134398,-0.129098,-0.9824,1F133333173FFL0830P1214L0M1,477,492,
59,Eagle Crater,Mont_Blanc,Les_Hauches,Soil,8,30,8.784795,-3.603071,-0.265496,-0.048896,-0.074428,-0.996345,1F133333173FFL0830P1214L0M1,493,500,
62,Plains,Black_Patch,Munter,Soil,8,74,19.835144,10.519626,-0.176062,-0.038763,0.020571,-0.999091,1F133613760FFL0874P1214L0M1,534,550,
63,Plains,White_Streak,Cleo3,Soil,8,106,-4.487962,18.167652,0.397499,0.004728,0.03894,-0.998956,1F133698156FFL08A6P1214L0M1,544,535,
65,Plains,Bounce_Rock,Achsel,Rock,8,126,-1.947535,20.648363,0.299083,0.312812,-0.084029,-0.94609,1F133786844FFL08AQP1214L0M1,605,588,
65,Plains,Bounce_Rock,Case,Rock,8,126,-1.997418,20.62991,0.292233,0.028438,-0.118377,-0.992706,1F133786844FFL08AQP1214L0M1,638,590,
65,Plains,Bounce_Rock,Glanz,Rock,8,126,-1.964949,20.567457,0.300712,-0.062307,-0.711464,-0.699606,1F133786844FFL08AQP1214L0M1,638,630,
65,Plains,Bounce_Rock,Traube,Rock,8,126,-2.059559,20.65062,0.291273,0.02387,0.10396,-0.994357,1F133786844FFL08AQP1214L0M1,664,574,
67,Plains,Bounce_Rock,Eifel,Rock,8,126,-1.959206,20.655764,0.294372,0.221452,-0.156571,-0.962519,1F133786844FFL08AQP1214L0M1,610,582,
67,Plains,Bounce_Rock,Fips2,Rock,8,126,-1.928157,20.713402,0.29222,0.115633,0.216412,-0.970255,1F133786844FFL08AQP1214L0M1,581,559,
67,Plains,Bounce_Rock,Loreley,Rock,8,126,-1.947535,20.648363,0.299083,0.312812,-0.084029,-0.94609,1F133786844FFL08AQP1214L0M1,605,588,
68,Plains,Bounce_Rock,Glanz2,Soil,8,126,-1.94661,20.57116,0.30046,0.482379,-0.735636,-0.47555,1F133786844FFL08AQP1214L0M1,626,630,
69,Plains,Bounce_Rock,Grace,Rock,8,134,-2.160735,20.642584,0.271208,0.062405,0.106649,-0.992884,1F134232130FFL08AYP1214L0M1,510,545,
69,Plains,Bounce_Rock,Luna2,Soil,8,134,-2.39951,20.8336,0.37003,0.000034,0.07991,-0.996706,1F134232130FFL08AYP1214L0M1,561,493,
69,Plains,Red_Herring,Ginny2,Rock,8,134,-2.097371,20.569206,0.297777,-0.067543,-0.657236,-0.750652,1F134232130FFL08AYP1214L0M1,493,596,
69,Plains,Bounce_Rock,Wrigley,Rock,8,134,-2.072135,20.568024,0.301255,0.051496,-0.555324,-0.830037,1F134232130FFL08AYP1214L0M1,479,603,
69,Plains,Bounce_Rock,Maggie,Rock,8,134,-2.121066,20.626892,0.274676,0.116854,-0.03881,-0.992301,1F134232130FFL08AYP1214L0M1,493,559,
73,Plains,Plains,Black_Flats,Soil,10,0,1.006532,0.282726,0.291656,0.042644,-0.023105,-0.9987,1F134591092FFL1000P1214L0M1,535,537,
73,Plains,Seas,Aegean_Crest,Soil,10,0,1.02999,0.51361,0.277,0.041944,0.013407,-0.998306,1F134591092FFL1000P1214L0M1,619,510,
74,Plains,Dog_Park,Jeff's_Choice,Trench,10,188,-0.998,0.088,0.202,0.376802,-0.717624,-0.585693,1F134676082FFL10CGP1214L0M1,599,500,
80,Plains,Dog_Park,Beagle_Burrow,Trench,10,188,-0.937577,-0.144964,0.330133,0.209674,-0.362445,-0.908113,1F134676082FFL10CGP1214L0M1,504,533,
80,Plains,Dog_Park,Jack_Russell,Soil,10,188,-1.33641,-0.094785,0.258962,0.017474,-0.015282,-0.999585,1F134676082FFL10CGP1214L0M1,586,662,
80,Plains,Dog_Park,RipX,Trench,10,188,-0.801487,-0.312922,0.255876,-0.551928,-0.229632,-0.80165,1F134676082FFL10CGP1214L0M1,435,495,
80,Plains,Dog_Park,RipX_Below,Trench,10,188,-0.822918,-0.313636,0.281929,-0.943983,0.056385,-0.32514,1F134676082FFL10CGP1214L0M1,437,506,
84,Plains,Nullarbor,Great_Sandy,Soil,13,0,-0.357239,0.874154,0.232825,0.013666,0.034663,-0.999124,1F135566357FFL1300P1214L0M1,621,584,
85,Plains,Baseball,Infield,Rock,14,0,-0.2206,1.137099,0.170549,0.034497,-0.141823,-0.989342,1F135651496FFL1400P1214L0M1,629,504,
85,Plains,Baseball,Outfield,Soil,14,0,-0.181635,1.087122,0.179492,-0.02709,-0.066484,-0.997422,1F135651496FFL1400P1214L0M1,617,519,
86,Fram Crater Rim,Pilbara,Golf,Rock,14,9,-0.835425,2.002363,0.188987,0.420406,-0.168065,-0.891634,1F135828331FFL1409P1214L0M1,518,501,
89,Plains,Plains,Fred_Ripple,Soil,15,0,1.114607,0.109757,0.274405,0.008487,-0.028158,-0.999165,1F136000873FFL1500P1214L0M1,575,516,
89,Plains,Plains,Nougat,Soil,15,0,0.839296,-0.158556,0.282292,0.019257,-0.052575,-0.998516,1F136000873FFL1500P1214L0M1,453,619,
97,Endurance Crater Rim,Berry_Stop,Leah's_Choice,Soil,20,2,0.031,0.786,0.249,0.030989,-0.041985,-0.998638,1F136706072FFL2002P1214L0M1,591,657,
105,Endurance Crater Rim,Lion_Stone,Elsa,Rock,22,8,-0.628148,2.000171,-0.083207,-0.488392,-0.325609,-0.809599,1F137416712FFL2208P1214L0M1,578,502,
105,Endurance Crater Rim,Lion_Stone,Kimba,Soil,22,8,-0.525786,2.121216,-0.163096,-0.51512,-0.160174,-0.842278,1F137416712FFL2208P1214L0M1,532,459,
105,Endurance Crater Rim,Lion_Stone,Nala,Rock,22,8,-0.561371,1.935489,-0.084077,0.008028,-0.746285,-0.665577,1F137416712FFL2208P1214L0M1,560,517,
105,Endurance Crater Rim,Lion_Stone,Jad_Bal_Ja,Soil,22,8,-0.324213,2.16312,-0.070406,0.02171,-0.150902,-0.988255,1F137416712FFL2208P1214L0M1,461,484,
106,Endurance Crater Rim,Lion_Stone,Jad_Ben_Lul,Soil,22,8,-0.324157,2.147033,-0.068602,0.004778,-0.144687,-0.98941,1F137416712FFL2208P1214L0M1,461,487,
106,Endurance Crater Rim,Lion_Stone,Jad_In_Lul,Soil,22,8,-0.547506,1.83011,-0.041149,-0.024815,-0.300691,-0.953719,1F137416712FFL2208P1214L0M1,565,559,
106,Endurance Crater Rim,Lion_Stone,Jato,Soil,22,8,-0.581186,1.739718,-0.014591,0.117839,-0.34818,-0.929992,1F137416712FFL2208P1214L0M1,593,597,
106,Endurance Crater Rim,Lion_Stone,Leo,Rock,22,8,-0.56145,1.94929,-0.096257,-0.211314,-0.565139,-0.797473,1F137416712FFL2208P1214L0M1,559,510,
107,Endurance Crater Rim,Lion_Stone,Numa,Rock,22,22,-0.645729,2.58998,-0.230944,-0.167461,-0.206008,-0.964259,1F137608746FFL2222P1229L0M1,486,539,
121,Endurance Crater Rim,Fig_Tree,Barberton,Rock,28,9,1.585192,-1.731431,0.038368,0.239176,0.364168,-0.900008,1F138744391FFL2809P1214L0M1,520,628,
121,Endurance Crater Rim,Fig_Tree,Barberton2,Rock,28,9,1.586,-1.734,0.035,-0.188089,0.08504,-0.978463,1F138744391FFL2809P1214L0M1,519,626,
123,Endurance Crater Rim,Hill_Top,McDonnell,Soil,28,9,1.71887,-1.607539,0.083488,0.120891,0.087906,-0.988765,1F138744391FFL2809P1214L0M1,613,636,
124,Endurance Crater Rim,Pyrrho,Sweet,Rock,28,21,0.627494,-2.220232,0.009668,-0.006843,0.098865,-0.995032,1F139115287FFL2821P1214L0M1,614,517,
125,Endurance Crater Rim,Diogenes,Tier1,Rock,28,29,0.19808,-2.752478,-0.033724,-0.047311,0.164845,-0.985234,1F139208432FFL2829P1214L0M1,571,610,
125,Endurance Crater Rim,Diogenes,Tier2,Rock,28,29,0.221712,-2.734244,-0.033383,0.02069,0.204878,-0.978525,1F139208432FFL2829P1214L0M1,586,617,
125,Endurance Crater Rim,Diogenes,Tier3a,Rock,28,29,0.291563,-2.907428,-0.071288,0.023109,0.203286,-0.979319,1F139208432FFL2829P1214L0M1,591,541,
125,Endurance Crater Rim,Diogenes,Tier5a,Rock,28,29,0.28,-2.92,-0.07,,,,1F139208432FFL2829P1214L0M1,584,538,
138,"Endurance Crater, Layer-A",Tennessee,Vols,Rock,31,82,2.610833,5.991014,1.7646,0.203,0.254,-0.946,1F140346090FFL3182P1214L0M1,498,566,
142,"Endurance Crater, Layer-B",Kentucky,Bluegrass,Rock,31,90,4.458083,6.284698,2.11268,0.295576,0.217667,-0.930138,1F140710275FFL3190P1214L0M1,466,503,
142,"Endurance Crater, Layer-B",Kentucky,Siula_Grande,Rock,31,90,4.010531,6.227737,1.876458,0.440828,0.343627,-0.829104,1F140710275FFL3190P1214L0M1,598,632,
142,"Endurance Crater, Layer-B",Kentucky,Churchill,Rock,31,90,4.033976,6.251875,1.903959,0.550349,0.409757,-0.72747,1F140710275FFL3190P1214L0M1,592,612,
143,"Endurance Crater, Layer-B",Kentucky,Cobble_Hill,Rock,31,90,4.04383,6.242422,1.906972,0.511229,0.433272,-0.741876,1F140710275FFL3190P1214L0M1,584,612,
144,"Endurance Crater, Layer-B",Kentucky,Cobble_Hill2,Rock,31,90,4.046,6.244,1.917,0.445058,0.410053,-0.796103,1F140710275FFL3190P1214L0M1,582,611,
145,"Endurance Crater, Layer-C",Layer_C,Virginia,Rock,31,90,4.040632,6.354558,1.967549,0.41817,0.386348,-0.822112,1F140710275FFL3190P1214L0M1,613,575,
146,"Endurance Crater, Layer-D",Ontario,London,Rock,31,90,4.297344,6.385756,2.096015,0.342573,0.293235,-0.892556,1F140710275FFL3190P1214L0M1,531,512,
151,"Endurance Crater, Layer-E1",Manitoba,Grindstone,Rock,32,0,0.677,0.284,0.643,0.299782,0.3323,-0.894264,1F141510989FFL3200P1214L0M1,444,586,
152,"Endurance Crater, Layer-E1",Manitoba,Kettlestone,Rock,32,0,0.82372,0.51637,0.79104,0.277306,0.41957,-0.864328,1F141510989FFL3200P1214L0M1,494,499,
158,"Endurance Crater, Layer-F",Millstone,Hallvard,Soil,32,15,1.15771,0.873622,1.06413,0.277252,0.280083,-0.919107,1F142122871FFL3215P1214L0M1,530,564,
160,"Endurance Crater, Layer-F",Millstone,Drammensfjord,Rock,32,21,1.30983,0.966255,1.1412,0.282869,0.186525,-0.941351,1F142211973FFL3221P1214L0M1,521,503,
164,Endurance Crater,Millstone,Dahlia,Soil,32,21,1.132,0.995,1.1,0.226016,0.334024,-0.915065,1F142211973FFL3221P1214L0M1,574,540,
173,Endurance Crater,Hoghead,Arnold_Ziffel,Rock,33,0,-0.522834,0.522014,0.376994,0.231369,0.246615,-0.94109,1F143372676FFL3300P1214L0M1,532,652,
176,Endurance Crater,Trac2,Razor_Cluster,Rock,33,28,0.389,2.38,0.986,0.32405,0.232036,-0.917143,1F143725603FFL3328P1214L0M1,544,583,
177,Endurance Crater,Diamond_Jenness,Holman3,Rock,33,36,0.877,3.668,1.387,0.11003,0.220059,-0.969261,1F143809404FFL3336P1214L0M1,584,593,
181,Endurance Crater,Endurance Crater,Wilbur,Soil,33,52,0.389829,2.35754,0.984485,0.360068,0.068291,-0.930363,1F144177858FFL3352P1214L0M1,474,540,
182,Endurance Crater,Mackenzie,Campbell,Rock,33,70,1.61677,4.95707,1.79894,0.009918,0.228938,-0.97339,1F144257446FFL3370P1214L0M1,492,542,
182,Endurance Crater,Mackenzie,Campbell2,Rock,33,70,1.599676,4.921991,1.803774,0.094576,0.224268,-0.969767,1F144257446FFL3370P1214L0M1,493,559,
186,Endurance Crater,Inuvik,Tuktoyuktuk2,Rock,34,12,0.87,0.22,0.46,,,,1F144612858FFL3412P1214L0M1,517,636,
194,Endurance Crater,Bylot,Aktineq,Rock,35,0,0.116,1.013,0.516,0.374826,0.168921,-0.911576,1F145332673FFL3500P1214L0M1,593,528,
197,Endurance Crater,Bylot,Sermilik,Rock,35,5,0.153482,0.482684,0.433236,0.299104,0.108258,-0.948272,1F145584784FFL3505P1214L0M1,532,523,
199,Endurance Crater,Muffins,Berry_Fondue,Soil,35,5,-0.063256,0.604018,0.371359,0.311432,0.183972,-0.932338,1F145584784FFL3505P1214L0M1,629,511,
199,Endurance Crater,Muffins,Jiffy_Pop,Soil,35,5,-0.109463,0.543733,0.348058,0.305524,0.184332,-0.934263,1F145584784FFL3505P1214L0M1,648,532,
210,Endurance Crater,Escher,Afar,Rock,35,152,-0.501,-5.126,-1.092,0.282971,0.403959,-0.869911,1F146657544FFL35BGP1214L0M1,473,497,
210,Endurance Crater,Escher,Feininger,Rock,35,152,-0.557905,-5.087048,-1.082955,0.108652,0.632532,-0.766731,1F146657544FFL35BGP1214L0M1,497,506,
210,Endurance Crater,Escher,Jibuti,Rock,35,152,-0.588925,-5.01513,-1.06275,0.317228,0.54232,-0.778032,1F146657544FFL35BGP1214L0M1,528,505,
210,Endurance Crater,Escher,Kandinsky,Rock,35,152,-0.64726,-5.27397,-1.18527,0.319322,0.406208,-0.856738,1F146657544FFL35BGP1214L0M1,432,560,
210,Endurance Crater,Escher,Kirchner,Rock,35,152,-0.678,-5.23,-1.181,0,0.288672,-0.957428,1F146657544FFL35BGP1214L0M1,458,561,
210,Endurance Crater,Escher,Klee,Rock,35,152,-0.739,-5.062,-1.12,0.069027,0.421165,-0.904354,1F146657544FFL35BGP1214L0M1,546,551,
210,Endurance Crater,Escher,Mondrian,Rock,35,152,-0.892541,-5.28398,-1.21946,-0.02064,0.409752,-0.910925,1F146657544FFL35BGP1214L0M1,483,681,
210,Endurance Crater,Escher,Penrose,Rock,35,152,-0.469214,-5.27603,-1.14556,0.33196,0.231205,-0.914863,1F146657544FFL35BGP1214L0M1,407,507,
212,Endurance Crater,Escher,Afar2,Rock,35,152,-0.501,-5.126,-1.092,0.282971,0.403959,-0.869911,1F146657544FFL35BGP1214L0M1,473,497,
212,Endurance Crater,Escher,Macke,Rock,35,152,-0.392074,-5.26949,-1.11697,0.342804,0.417845,-0.841787,1F146657544FFL35BGP1214L0M1,403,490,
212,Endurance Crater,Escher,Munch,Rock,35,152,-0.668119,-5.2665,-1.19423,0.355246,0.370994,-0.858096,1F146657544FFL35BGP1214L0M1,438,565,
212,Endurance Crater,Escher,FranzMarc,Rock,35,152,-0.777787,-5.33108,-1.23282,-0.096917,0.36737,-0.924488,1F146657544FFL35BGP1214L0M1,423,632,
212,Endurance Crater,Escher,Jibuti2,Rock,35,152,-0.557004,-5.11463,-1.10738,0.234081,0.437366,-0.868831,1F146657544FFL35BGP1214L0M1,486,507,
212,Endurance Crater,Escher,Leger,Rock,35,152,-0.729619,-5.31581,-1.23147,-0.195664,0.317753,-0.927765,1F146657544FFL35BGP1214L0M1,420,603,
212,Endurance Crater,Escher,Mondrian2,Rock,35,152,-0.91,-5.29,-1.21,,,,1F146657544FFL35BGP1214L0M1,486,694,
214,Endurance Crater,Escher,Barlach3,Rock,35,152,-0.367168,-5.3173,-1.11951,0.524776,0.08453,-0.847033,1F146657544FFL35BGP1214L0M1,383,492,
214,Endurance Crater,Escher,Emil_Nolde,Rock,35,152,-0.427738,-5.06532,-1.02777,0.176814,0.409365,-0.895151,1F146657544FFL35BGP1214L0M1,484,480,
214,Endurance Crater,Escher,Emil_Nolde2,Rock,35,152,-0.370005,-5.11947,-1.0341,0.254835,0.318897,-0.912159,1F146657544FFL35BGP1214L0M1,459,475,
216,Endurance Crater,Escher,Fritz,Rock,35,152,-0.427738,-5.06532,-1.02777,0.176814,0.409365,-0.895151,1F146657544FFL35BGP1214L0M1,484,480,
217,Endurance Crater,Escher,Otto_Dix,Rock,35,152,-0.868,-5.235,-1.195,-0.011996,0.349893,-0.936713,1F146657544FFL35BGP1214L0M1,504,649,
221,Endurance Crater,Berry_Cluster,Cluster1,Soil,35,184,-4.16691,-5.78332,-2.2337,0.114288,0.35011,-0.929603,1F147720725FFL35CCP1214L0M1,603,492,
221,Endurance Crater,Berry_Cluster,Cluster2,Soil,35,184,-4.18059,-6.05963,-2.32946,0.033538,0.296884,-0.954048,1F147720725FFL35CCP1214L0M1,552,559,
221,Endurance Crater,Berry_Cluster,Cluster3,Soil,35,184,-4.17743,-5.99473,-2.30472,0.040572,0.29095,-0.955854,1F147720725FFL35CCP1214L0M1,566,540,
222,Endurance Crater,Berry_Cluster,Jawlensky,Soil,35,184,-3.99861,-6.20123,-2.29569,0.404447,0.227377,-0.885846,1F147720725FFL35CCP1214L0M1,440,561,
222,Endurance Crater,Berry_Cluster,Duchamp,Soil,35,184,-4.04301,-6.27449,-2.35788,0.404975,0.266682,-0.875493,1F147720725FFL35CCP1214L0M1,421,595,
236,Endurance Crater,Ellesmere,Auk,Soil,35,199,-3.95355,-5.52173,-2.02416,-0.029683,0.284036,-0.958354,1F149058150FFL35CRP1213L0M1,521,467,
239,Endurance Crater,Ellesmere,Brad's_B,Rock,35,206,-3.83019,-5.35842,-2.08335,-0.074068,0.508017,-0.859146,1F149324348EFF35CYP1214L0M1,468,402,
239,Endurance Crater,Ellesmere,No_Coating,Rock,35,206,-3.7732,-5.54328,-2.14166,0.016194,0.352071,-0.935356,1F149324348EFF35CYP1214L0M1,335,478,
